data,sample,IS,,,Metab1,,,Metab2,,,Metab3,,,Metab4,,,Metab5,,,Metab6,,,Metab7,,,Metab8,,,Metab9,,,Metab10,,,Metab11,,,Metab12,,,Metab13,,,Metab14,,,Metab15,,
,,RT,Area,SNR,RT,Area,SNR,RT,Area,SNR,RT,Area,SNR,RT,Area,SNR,RT,Area,SNR,RT,Area,SNR,RT,Area,SNR,RT,Area,SNR,RT,Area,SNR,RT,Area,SNR,RT,Area,SNR,RT,Area,SNR,RT,Area,SNR,RT,Area,SNR,RT,Area,SNR
170710-10,3U7,18.885,863418.37,103.6,30.319,22547.37,8.4,21.37,28004.89,2.2,34.462,24464.3,2.4,19.233,185109.97,21.7,30.402,17905.84,4.1,19.365,9596.64,17.2,18.785,237777.19,16.3,18.271,2715058.88,165.9,21.47,436295.39,Infinity,17.244,3526244.29,76.5,17.741,9921.91,12.1,17.907,161318.05,30.8,20.011,8767073.47,881.2,19.365,1726775.12,270.1,15.786,58231.96,35
170710-10,QC,19.349,495070.13,61.2,30.899,51565.34,19.8,21.867,38476.18,3.1,35.058,44046.99,5.3,19.713,400175.44,52.7,30.932,36760.78,9.2,19.862,27952.26,41.9,19.266,815010.25,59.3,18.752,4603232.99,277.4,21.967,1722012.74,Infinity,17.691,6233630.49,137.3,18.189,209311.69,274.9,18.371,604110.24,139,20.492,10902858.55,1115.2,19.846,2865916.48,474.2,16.2,202715.53,126.7
170710-10,3U8,19.796,511683.7,64.2,31.479,27218.33,10.4,22.365,35311.76,2.7,35.622,22720.53,2.3,20.161,237817.08,31.4,31.545,15328.59,3.8,20.31,22696.69,34.4,19.713,338545.3,25.4,19.199,3657817.86,230.7,22.447,930621.81,Infinity,18.139,8386817.58,194.2,18.603,28846.15,39.6,18.818,224510.34,49.8,20.956,3537712.42,338.6,20.293,1141951.83,182.2,16.598,92462.86,55.5
170710-10,3U8,20.26,866315.19,108.1,32.042,40501.6,14.9,NA,NA,NA,36.284,20488.67,2.8,20.641,329324.02,45.2,32.108,32247.63,6.6,20.774,30768.69,53.6,20.177,629540.16,46.8,19.663,7126350.75,435,22.945,1404298.42,Infinity,18.603,14749170.76,325.8,19.083,49793.18,54.7,19.266,348808.2,82.5,21.437,4176989.99,396.3,20.774,1696560.18,266.2,17.012,147877.18,90.6
,,RT,Area,SNR,RT,Area,SNR,RT,Area,SNR,RT,Area,SNR,RT,Area,SNR,RT,Area,SNR,RT,Area,SNR,RT,Area,SNR,RT,Area,SNR,RT,Area,SNR,RT,Area,SNR,RT,Area,SNR,RT,Area,SNR,RT,Area,SNR,RT,Area,SNR,RT,Area,SNR
170710-11,4U3,17.939,787969.19,66.2,29.324,61592.07,13.1,20.375,30119.93,2.4,33.483,42184.76,3.9,18.287,735709.65,54.8,29.357,61718.4,11.8,18.42,52672.27,34.2,17.856,2355083.35,162.8,17.343,5960620.8,307.1,20.475,474720.74,Infinity,16.332,4287401.25,181.8,16.829,1846386.38,310.5,16.978,1316570.19,130.9,19.049,32291697.94,1521.9,18.42,4490316.34,363.3,14.907,268024.52,90.4
170710-11,4U3,18.403,460997.08,39.8,29.854,37438.78,7.2,20.889,17022.74,2,34.046,27456.67,3.2,18.768,471309.74,34.7,29.937,35133.66,7,18.884,43330.28,29.2,18.32,1310352.06,91.5,17.807,3466763.3,183.8,20.988,364690.53,Infinity,16.779,2931720.73,129.1,17.276,951437.99,172,17.425,696322.88,69.3,19.53,18701565.72,898.5,18.884,2715075.13,222.9,15.304,156400.42,51.6
170710-11,QC,18.867,445522.79,37.8,30.434,52519.06,10.4,21.386,42261.23,2.9,34.693,46466.8,5.9,19.232,432355.57,31.9,30.5,49197.22,8.7,19.381,38293.68,28.4,18.784,992630.96,67.1,18.271,4600684.97,240.7,21.485,1770248.57,Infinity,17.243,6191686.3,279.3,17.724,355271.4,65.8,17.873,720889.08,71,20.011,12004536.51,572.6,19.364,2910939.11,236.5,15.735,250324.49,85.8
170710-11,4U4,19.348,833712.08,72.2,30.997,87215.25,17.3,21.867,32886.51,3.4,35.223,52885.04,5.6,19.712,573345.74,44,31.113,61903.65,10.5,19.845,63279.13,47.1,19.248,2168081.79,151.6,18.718,3720194.14,196.4,21.983,561797.01,Infinity,17.674,4539118.74,203,18.188,765413.81,138.7,18.337,1440040.11,149.5,20.508,20706538.4,997.6,19.845,4403450.5,366.1,16.149,240272.59,84.4
170710-11,4U4,19.812,795448.65,69,31.544,81634.54,14.8,22.347,32396.47,2.9,35.853,66120.4,8.1,20.176,607614.8,47.3,31.677,52723.8,9.2,20.309,56834.64,36.8,19.712,2152303.34,150.8,19.182,3722154.06,200.1,22.48,563488.22,Infinity,18.105,4468951.61,201.8,18.635,795758.12,149.1,18.784,1574999.08,159.5,20.988,21369808.01,1026.8,20.309,4679501.63,396.3,16.564,251497.22,88.2
170710-11,4U5,20.259,545828.85,46.8,32.174,49862.65,9.2,22.861,24772.83,2.9,36.466,30950.54,3.6,20.624,353219.01,26.4,32.273,34334.54,5.5,20.756,29905.63,17.2,20.16,1200263.95,84.9,19.613,2361240.84,129.6,22.96,383841.54,Infinity,18.519,2527881.51,115.4,19.083,617841.06,106.7,19.215,669597.93,67,21.436,11080483.46,535.6,20.756,2368425.22,193,16.978,117391.23,39.2
170710-11,4U5,20.723,849064.96,72.9,32.771,68757.43,11.5,NA,NA,NA,37.062,49253.63,5.4,21.104,538596.09,43.2,32.804,46597.43,7.7,21.237,49979.16,36.6,20.624,1995320.01,143.2,20.077,3896372.41,213.5,23.457,412969.24,Infinity,18.967,3080796.86,143.5,19.53,1188131.68,198.8,19.663,857342.83,89,21.933,17525828.58,847.7,21.237,3707677.65,299.6,17.392,170436.45,56.4
,,RT,Area,SNR,RT,Area,SNR,RT,Area,SNR,RT,Area,SNR,RT,Area,SNR,RT,Area,SNR,RT,Area,SNR,RT,Area,SNR,RT,Area,SNR,RT,Area,SNR,RT,Area,SNR,RT,Area,SNR,RT,Area,SNR,RT,Area,SNR,RT,Area,SNR,RT,Area,SNR
170710-12,QC,18.071,467921.4,25.9,29.605,53707.87,10.3,20.557,36495.04,3.2,33.798,50586.34,4.7,18.419,457633.39,40.1,29.688,46566.5,7.5,18.552,31961.4,11.5,17.972,1053256.55,72.5,17.442,4871065.5,193.5,20.64,2074720.47,Infinity,16.431,6939559.83,184.6,16.912,313030.93,65,17.061,875965.15,104.7,19.182,13175979.21,336.1,18.552,3142154.46,228.8,14.973,276562.91,77.1
170710-12,4U6,18.569,862084.52,49.3,30.152,69119.98,12.5,NA,NA,NA,34.378,29684.86,2.4,18.933,824045.62,72.1,30.235,64889.8,11.7,19.082,94269.89,41.4,18.486,2968606.67,207.6,17.955,8108574.68,315.9,21.17,1342811.44,Infinity,16.945,17949422.05,459.7,17.409,1090442.2,209.1,17.558,760873.39,90.8,19.712,35537671.21,893.4,19.066,7492539.64,576.1,15.404,147629.3,40.1
170710-12,4U6,19.049,627027.66,35.6,30.782,51160.08,9,21.585,38898.43,2.9,35.074,27282.82,1.9,19.414,555828.59,49,30.848,45364.32,7.9,19.546,55315.43,23.1,18.966,1975504.1,138.6,18.419,4773540.76,189.4,21.684,983133.02,Infinity,17.392,11273650.18,304.8,17.856,636290.82,129.1,18.022,498368.52,60.8,20.209,22694709.64,582.7,19.546,4367939.84,321,15.851,110692.43,28.9
170710-12,4U7,19.53,900663.3,51.9,31.345,60246.47,10.6,22.148,39555.01,2.5,35.687,43911.97,3.6,19.894,727946.83,64.8,31.445,54431.15,8.8,20.043,91092.51,35.9,19.447,2384818.49,166.3,18.9,7326440.27,289.3,22.198,1634214.94,Infinity,17.839,9078403.84,240.6,18.353,1660788.34,303.2,18.502,676097.33,80.1,20.706,25840444.79,655.4,20.043,5840035.35,430.5,16.282,145131.67,39.1
170710-12,4U7,20.027,944082.82,53.2,31.942,71225.68,11.9,22.629,45353.59,3.2,36.383,33083.42,2.6,20.391,763233.94,68.7,32.008,54216.68,8.5,20.541,78862.29,27.1,19.927,2487548.3,174.3,19.381,7557514,300.8,22.711,1761144.86,Infinity,18.303,8861823.83,233.3,18.817,1558172.65,311.2,18.983,677794.58,79.7,21.203,26191436.25,668.5,20.524,6166044.42,460.9,16.729,159028.26,41.9
170710-12,5U1,20.474,634207.51,35.2,32.571,23575.41,3.6,23.126,29089.86,2.4,36.963,20526.79,2.1,20.855,327424.78,28.8,32.605,31214.69,4,21.005,21117.47,9,20.391,834540.61,57.9,19.828,3040756.75,128.6,23.225,696531.47,Infinity,18.751,6213584.77,172,19.281,364126.61,64.8,19.43,209281.36,24.1,21.684,9268324.65,229,20.988,2111954.52,149.5,17.16,68298.22,20
170710-12,5U1,20.938,1019092.29,56.3,33.135,32332.94,5.7,23.623,47380.49,3.4,37.493,28608.13,2.5,21.319,374728.26,35.4,NA,NA,NA,21.452,35485.37,11.8,20.839,1065686.36,72.2,20.275,4385468.65,180.2,23.722,768658.38,Infinity,19.198,9746289.19,274.4,19.712,402120.19,69.4,19.861,218269.82,26.1,22.148,11053006.46,286.9,21.452,2535748.36,187.3,17.574,77950.29,22.1
,,RT,Area,SNR,RT,Area,SNR,RT,Area,SNR,RT,Area,SNR,RT,Area,SNR,RT,Area,SNR,RT,Area,SNR,RT,Area,SNR,RT,Area,SNR,RT,Area,SNR,RT,Area,SNR,RT,Area,SNR,RT,Area,SNR,RT,Area,SNR,RT,Area,SNR,RT,Area,SNR
